title,year,imdbID
Pulp Fiction,1994,tt0110912
Apocalypse Now,1979,tt0078788
There Will Be Blood,2007,tt0469494
"Paris, Texas",1984,tt0087884
The 400 Blows,1959,tt0053198
The Handmaiden,2016,tt4016934
Memories of Murder,2003,tt0353969
Dr. Strangelove or: How I Learned to Stop…,1964,tt0057012
Terminator 2: Judgment Day,1991,tt0103064
The White Ribbon,2009,tt1149362
The Great Dictator,1940,tt0032553
Schindler's List,1993,tt0108052
The Big Lebowski,1998,tt0118715
Back to the Future,1985,tt0088763
The Straight Story,1999,tt0166896
Kill Bill: Vol. 1,2003,tt0266697
Memento,2000,tt0209144
Paddington 2,2017,tt4468740
The Graduate,1967,tt0061722
Le Trou,1960,tt0054407
Le Cercle rouge,1970,tt0065531
Toni Erdmann,2016,tt4048272
Aguirre: The Wrath of God,1972,tt0068182
The Social Network,2010,tt1285016
Manchester by the Sea,2016,tt4034228
Inside Llewyn Davis,2013,tt2042568
Birdman,2014,tt2562232
Head-On,2004,tt0347048
Fitzcarraldo,1982,tt0083946
Prisoners,2013,tt1392214
Let the Right One In,2008,tt1139797
Diabolique,1955,tt0046911
Jurassic Park,1993,tt0107290
Belle de Jour,1967,tt0061395
Paterson,2016,tt5247022
My Life as a Zucchini,2016,tt2321405
The Wrestler,2008,tt1125849
Kill Bill: Vol. 2,2004,tt0378194
La La Land,2016,tt3783958
Good Will Hunting,1997,tt0119217
Lost Highway,1997,tt0116922
12 Years a Slave,2013,tt2024544
Hot Fuzz,2007,tt0425112
Halloween,1978,tt0077651
JFK,1991,tt0102138
What We Do in the Shadows,2014,tt3416742
Kubo and the Two Strings,2016,tt4302938
Ernest & Celestine,2012,tt1816518
Scarface,1983,tt0086250
The Marriage of Maria Braun,1979,tt0079095
The Blues Brothers,1980,tt0080455
Twelve Monkeys,1995,tt0114746
Starred Up,2013,tt2567712
Blood Simple,1984,tt0086979
Sin City,2005,tt0401792
Stefan Zweig: Farewell to Europe,2016,tt3397160
Hell or High Water,2016,tt2582782
Snowpiercer,2013,tt1706620
Shutter Island,2010,tt1130884
The Big Sick,2017,tt5462602
Things to Come,2016,tt4120176
The Green Mile,1999,tt0120689
The Hurt Locker,2008,tt0887912
Christiane F.,1981,tt0082176
Gigantics,1999,tt0177507
Silence,2016,tt0490215
American Honey,2016,tt3721936
From Dusk Till Dawn,1996,tt0116367
Million Dollar Baby,2004,tt0405159
The Tin Drum,1979,tt0078875
The Place Beyond the Pines,2012,tt1817273
Rush,2013,tt1979320
A Most Violent Year,2014,tt2937898
The Raid,2011,tt1899353
Gladiator,2000,tt0172495
Purple Noon,1960,tt0054189
Dead Man,1995,tt0112817
Tinker Tailor Soldier Spy,2011,tt1340800
The Evil Dead,1981,tt0083907
The Salesman,2016,tt5186714
The Aviator,2004,tt0338751
Nosferatu the Vampyre,1979,tt0079641
Taxi,2015,tt4359416
Swiss Army Man,2016,tt4034354
Locke,2013,tt2692904
Slow West,2015,tt3205376
Blue Ruin,2013,tt2359024
Back to the Future Part II,1989,tt0096874
Gone Baby Gone,2007,tt0452623
New World,2013,tt2625030
Mission: Impossible - Ghost Protocol,2011,tt1229238
Hands of a Mother,2016,tt5125616
Still Alice,2014,tt3316960
Man Bites Dog,1992,tt0103905
The Meaning of Life,1983,tt0085959
Run Lola Run,1998,tt0130827
Thirst,2009,tt0762073
Fences,2016,tt2671706
A Monster Calls,2016,tt3416532
Philomena,2013,tt2431286
The Intouchables,2011,tt1675434
Beloved Sisters,2014,tt2790236
Pride & Prejudice,2005,tt0414387
Spring Breakers,2012,tt2101441
Silver Linings Playbook,2012,tt1045658
Murder on the Orient Express,1974,tt0071877
United 93,2006,tt0475276
The Killing Fields,1984,tt0087553
Three Days of the Condor,1975,tt0073802
The Lost City of Z,2016,tt1212428
Escape from New York,1981,tt0082340
The Dark Valley,2014,tt2650978
We Are Young. We Are Strong.,2014,tt4076058
Nocturnal Animals,2016,tt4550098
"Good bye, Lenin!",2003,tt0301357
Iron Man,2008,tt0371746
Changeling,2008,tt0824747
Side Effects,2013,tt2053463
The Fifth Element,1997,tt0119116
Kick-Ass,2010,tt1250777
Chiko,2008,tt1132474
The Age of Shadows,2016,tt4914580
Cloud Atlas,2012,tt1371111
No Place to Go,2000,tt0235841
Zombieland,2009,tt1156398
Wild,2016,tt4071086
Sleepers,1996,tt0117665
Apollo 13,1995,tt0112384
Ong-Bak: The Thai Warrior,2003,tt0368909
The Pledge,2001,tt0237572
Pusher,1996,tt0117407
Louder Than Bombs,2015,tt2217859
Housebound,2014,tt3504048
A War,2015,tt3830162
Logan Lucky,2017,tt5439796
Beasts of the Southern Wild,2012,tt2125435
Spring in a Small Town,1948,tt0189219
Saw,2004,tt0387564
Loving Vincent,2017,tt3262342
Stay,2005,tt0371257
John Wick: Chapter 2,2017,tt4425200
Chi-Raq,2015,tt4594834
Praxis Dr. Hasenbein,1997,tt0119932
Death at a Funeral,2007,tt0795368
Stromberg - The Movie,2014,tt3010660
Down with Love,2003,tt0309530
mother!,2017,tt5109784
Back to the Future Part III,1990,tt0099088
Asterix in Britain,1986,tt0090667
Woyzeck,1979,tt0080149
The Impossible,2012,tt1649419
Mr. Holmes,2015,tt3168230
The Boat That Rocked,2009,tt1131729
The Villainess,2017,tt6777338
In July,2000,tt0177858
Last Flag Flying,2017,tt6018306
Song to Song,2017,tt2062700
Cobra Verde,1987,tt0094888
Drei Männer im Schnee,1955,tt0048014
Sleeping with Other People,2015,tt3165612
Bill & Ted's Excellent Adventure,1989,tt0096928
Chef,2014,tt2883512
Cruel Intentions,1999,tt0139134
State of Play,2009,tt0473705
Limitless,2011,tt1219289
4 Kings,2015,tt5033342
8 Women,2002,tt0283832
The Life of David Gale,2003,tt0289992
Thirteen Days,2000,tt0146309
The Endless Night,1963,tt0057035
First Girl I Loved,2016,tt4262174
Playgirl,1966,tt0060845
Popstar: Never Stop Never Stopping,2016,tt3960412
Ingrid Goes West,2017,tt5962210
King Kong,2005,tt0360717
Patriots Day,2016,tt4572514
The Party,2017,tt5814592
Evil Under the Sun,1982,tt0083908
Shark Alarm at Müggel Lake,2013,tt2352394
Mandela: Long Walk to Freedom,2013,tt2304771
"If It Don't Fit, Use a Bigger Hammer",2002,tt0278815
Split,2016,tt4972582
The Jerk,1979,tt0079367
Remember,2015,tt3704050
Combat Girls,2011,tt1890373
The Rover,2014,tt2345737
Stereo,2014,tt3348102
The Kings of Summer,2013,tt2179116
The Devil's Rejects,2005,tt0395584
Free Fall,2013,tt2617828
The Wall,2012,tt1745686
Runaway Jury,2003,tt0313542
The Whole Nine Yards,2000,tt0190138
Mia Madre,2015,tt3013610
00 Schneider - Jagd auf Nihil Baxter,1994,tt0109000
That's What I Am,2011,tt1606180
Orphan,2009,tt1148204
The Boy in the Striped Pyjamas,2008,tt0914798
Colossal,2016,tt4680182
A Room with a View,1985,tt0091867
Flash Gordon,1980,tt0080745
The Negotiator,1998,tt0120768
The Outsiders,1983,tt0086066
Green Zone,2010,tt0947810
Born to Be Blue,2015,tt2133196
The Voices,2014,tt1567437
Fried Green Tomatoes,1991,tt0101921
Sophie Scholl: The Final Days,2005,tt0426578
Tracks,2013,tt2167266
Smokey and the Bandit,1977,tt0076729
Dirty Dancing,1987,tt0092890
Saving Grace,2000,tt0195234
Fraktus - Das letzte Kapitel der Musikgeschichte,2012,tt1971571
Notting Hill,1999,tt0125439
Faust,2011,tt1437357
The Faculty,1998,tt0133751
Iron Man 3,2013,tt1300854
Call of Heroes,2016,tt5842624
Asterix vs. Caesar,1985,tt0088748
Man on Fire,2004,tt0328107
Southpaw,2015,tt1798684
The Brand New Testament,2015,tt3792960
The Two Faces of January,2014,tt1976000
A Time to Kill,1996,tt0117913
Silent Hill,2006,tt0384537
Warm Bodies,2013,tt1588173
The Grey Zone,2001,tt0252480
Bridesmaids,2011,tt1478338
Linie 1,1988,tt0095527
Mirror Mirror,2012,tt1667353
The Equalizer,2014,tt0455944
Wyrmwood: Road of the Dead,2014,tt2535470
Maggie,2015,tt1881002
Get the Gringo,2012,tt1567609
I Remember You,2017,tt4966532
Ghost in the Shell,2017,tt1219827
Radiance,2017,tt6165792
The Golden Goose,1964,tt0183126
The Limehouse Golem,2016,tt4733640
Momo,1986,tt0091537
The Ardennes,2015,tt2586118
The Keeping Room,2014,tt2488778
Texas - Doc Snyder hält die Welt in…,1993,tt0108317
Zulu,2013,tt2249221
A Friend of Mine,2006,tt0441762
